path_id,x,y
0,522,360
0,523,360
0,524,361
0,527,361
0,528,362
0,537,362
0,538,361
0,550,361
0,551,362
0,576,362
0,577,363
0,582,363
0,583,362
0,586,362
0,587,361
0,589,361
0,587,361
0,586,362
0,583,362
0,582,363
0,577,363
0,576,362
0,551,362
0,550,361
0,538,361
0,537,362
0,528,362
0,527,361
0,524,361
0,523,360
1,64,80
1,63,81
1,64,80
1,65,80
2,144,50
2,145,50
3,389,45
3,389,54
3,176,50
3,216,51
3,217,59
3,218,52
3,528,56
3,524,290
3,344,291
3,532,289
3,524,290
3,529,55
3,740,54
3,740,293
3,583,292
3,593,299
3,593,292
3,740,295
3,737,540
3,591,538
3,594,349
3,590,538
3,431,539
3,429,520
3,428,539
3,343,537
3,344,454
3,431,456
3,429,482
3,435,482
3,435,455
3,381,453
3,381,373
3,391,360
3,476,365
3,344,361
3,344,373
3,344,361
3,384,362
3,381,453
3,344,454
3,344,442
3,342,536
3,294,538
3,740,542
3,742,345
3,748,345
3,740,343
3,747,166
3,738,52
3,391,53
3,389,46
4,108,44
4,107,52
4,52,54
4,57,57
4,54,167
4,56,280
4,52,281
4,57,282
4,57,306
4,53,307
4,55,543
4,172,544
4,173,550
4,174,544
4,216,548
4,244,546
4,245,540
4,242,545
4,236,544
4,236,507
4,235,545
4,218,546
4,217,534
4,215,545
4,174,544
4,174,533
4,172,544
4,148,543
4,148,531
4,154,530
4,147,529
4,149,467
4,154,463
4,149,464
4,149,456
4,232,452
4,232,469
4,230,438
4,232,452
4,126,452
4,127,456
4,150,455
4,147,544
4,55,540
4,56,456
4,76,454
4,57,455
4,55,444
4,61,444
4,56,442
4,55,407
4,59,406
4,54,405
4,54,394
4,60,393
4,54,392
4,54,381
4,60,380
4,54,379
4,57,355
4,231,356
4,233,399
4,229,400
4,234,399
4,236,235
4,231,356
4,55,354
4,54,168
4,62,167
4,55,166
4,57,112
4,64,108
4,57,107
4,56,54
4,107,52
4,108,60
4,109,52
4,134,50
4,109,52
4,108,45
