0,485,485
0,485,485
1,495,480
1,500,480
2,590,473
2,590,473
3,436,473
3,436,473
4,505,470
4,505,470
5,510,465
5,515,465
6,230,420
6,230,420
7,240,415
7,240,415
8,288,409
8,288,409
9,80,415
9,80,415
10,255,405
10,255,405
11,240,405
11,245,405
12,335,400
12,335,400
13,360,395
13,360,395
14,386,383
14,386,383
15,365,385
15,370,385
16,350,385
16,350,385
17,350,380
17,355,380
18,338,383
18,350,380
19,100,350
19,100,350
20,100,340
20,100,345
21,100,335
21,100,335
22,100,325
22,100,330
23,70,310
23,70,310
24,305,295
24,305,295
25,219,291
25,219,291
26,650,260
26,655,260
27,705,255
27,705,260
28,648,249
28,648,249
29,660,240
29,660,240
30,590,227
30,590,227
31,354,127
31,354,127
32,195,100
32,209,98
33,190,100
33,190,100
34,162,98
34,162,98
35,175,90
35,175,95
36,125,90
36,125,90
37,125,90
37,125,90
38,603,40
38,603,40
39,585,40
39,585,40
40,665,40
40,665,40
41,603,40
41,603,40
42,688,40
42,688,40
43,635,35
43,635,35
44,675,35
44,675,35
45,603,40
45,603,40
46,700,35
46,700,35
47,635,30
47,635,30
48,625,30
48,625,30
49,610,30
49,610,30
50,555,30
50,560,30
51,550,30
51,550,30
52,535,30
52,540,30
53,510,30
53,510,30
54,500,30
54,505,30
55,495,30
55,495,30
56,490,30
56,490,30
57,470,30
57,470,30
58,460,30
58,460,30
59,455,30
59,455,30
60,445,30
60,445,30
61,440,30
61,440,30
62,430,30
62,435,30
63,425,30
63,425,30
64,420,30
64,420,30
65,530,20
65,530,20
66,425,20
66,425,20
67,574,17
67,574,17
68,490,20
68,495,20
69,470,20
69,470,20
70,390,17
70,390,17
71,540,15
71,540,15
72,406,17
72,406,17
73,590,17
73,590,17
74,406,17
74,406,17
75,390,17
75,390,17
0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,54,56,58,60,62,64,66,68,70,72,74,76,78,80,82,84,86,88,90,92,94,96,98,100,102,104,106,108,110,112,114,116,118,120,122,124,126,128,130,132,134,136,138,140,142,144,146,148,150,152
