0,344,152,372,193
1,344,152,300,152
2,344,152,377,150
3,344,152,322,153
4,344,152,380,171
5,560,146,539,146
6,560,146,537,170
7,560,146,511,148
8,94,103,68,83
9,94,103,122,73
10,94,103,99,71
11,94,103,104,127
12,94,103,91,147
13,443,324,469,331
14,443,324,492,323
15,443,324,409,311
16,240,134,238,113
17,240,134,252,90
18,240,134,258,143
19,240,134,240,159
20,240,134,279,154
21,150,323,104,319
22,150,323,158,367
23,150,323,180,316
24,150,323,150,345
25,295,224,282,268
26,295,224,299,188
27,295,224,329,218
28,295,224,297,251
29,295,224,282,203
30,295,224,317,234
31,491,148,539,146
32,491,148,446,139
33,491,148,511,148
34,526,265,486,267
35,526,265,524,220
36,526,265,538,243
37,315,327,303,311
38,315,327,287,324
39,104,319,58,321
40,104,319,80,322
41,519,331,535,317
42,519,331,492,323
43,238,113,252,90
44,238,113,258,143
45,238,113,240,159
46,238,113,231,72
47,372,193,377,150
48,372,193,329,218
49,372,193,372,219
50,372,193,362,238
51,372,193,380,171
52,158,367,150,345
53,132,266,104,263
54,132,266,103,229
55,132,266,152,253
56,371,261,372,219
57,371,261,362,238
58,371,261,411,275
59,371,261,385,276
60,300,152,299,188
61,300,152,258,143
62,300,152,279,154
63,300,152,322,153
64,388,318,411,275
65,388,318,385,276
66,388,318,409,311
67,104,263,103,229
68,104,263,152,253
69,282,268,297,251
70,282,268,317,234
71,282,268,303,311
72,539,146,537,170
73,539,146,511,148
74,299,188,329,218
75,299,188,279,154
76,299,188,282,203
77,299,188,317,234
78,299,188,322,153
79,446,139,421,138
80,446,139,447,92
81,377,150,394,138
82,377,150,380,171
83,377,150,421,138
84,252,90,231,72
85,486,267,450,270
86,486,267,469,278
87,329,218,372,219
88,329,218,297,251
89,329,218,362,238
90,329,218,282,203
91,329,218,317,234
92,372,219,362,238
93,372,219,380,171
94,58,321,80,322
95,258,143,240,159
96,258,143,279,154
97,147,76,122,73
98,147,76,99,71
99,147,76,177,85
100,297,251,317,234
101,103,229,103,198
102,197,82,231,72
103,197,82,177,85
104,535,317,492,323
105,240,159,279,154
106,362,238,385,276
107,362,238,317,234
108,450,270,411,275
109,450,270,469,278
110,257,318,303,311
111,257,318,226,322
112,257,318,287,324
113,68,83,99,71
114,68,83,42,87
115,122,73,99,71
116,279,154,282,203
117,279,154,322,153
118,411,275,385,276
119,411,275,409,311
120,104,127,102,170
121,104,127,91,147
122,103,198,102,170
123,282,203,317,234
124,102,170,91,147
125,385,276,409,311
126,200,322,226,322
127,200,322,180,316
128,524,220,538,243
129,524,220,535,196
130,394,138,380,171
131,394,138,421,138
132,303,311,287,324
133,537,170,511,148
134,537,170,535,196
135,538,243,535,196
136,469,331,492,323
137,226,322,180,316
138,180,316,150,345
139,606,89,583,48
140,606,89,576,87
141,583,48,576,87
142,505,89,482,90
143,505,89,548,88
144,447,92,482,90
145,548,88,576,87
